created_at,id,id_str,text,truncated,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang
Sun Nov 10 17:31:38 +0000 2019,1193581999321157633,1193581999321157633,"Eu indo fazer o #enem hoje.
#showdosatrasados2019 https://t.co/gCYeVP8u7r",False,"{'hashtags': [{'text': 'enem', 'indices': [16, 21]}, {'text': 'showdosatrasados2019', 'indices': [28, 49]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1193581111332528128, 'id_str': '1193581111332528128', 'indices': [50, 73], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1193581111332528128/pu/img/uVz2YyzRw51h0gTe.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1193581111332528128/pu/img/uVz2YyzRw51h0gTe.jpg', 'url': 'https://t.co/gCYeVP8u7r', 'display_url': 'pic.twitter.com/gCYeVP8u7r', 'expanded_url': 'https://twitter.com/thalesttavares/status/1193581999321157633/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 400, 'h': 200, 'resize': 'fit'}, 'small': {'w': 400, 'h': 200, 'resize': 'fit'}, 'medium': {'w': 400, 'h': 200, 'resize': 'fit'}}}]}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 194872382, 'id_str': '194872382', 'name': 'THALES', 'screen_name': 'thalesttavares', 'location': 'Brasil', 'description': 'Você pode até dizer que eu tô por fora ou que eu tô inventando.\nMas é você que ama o passado e que não vê que o novo sempre vem!', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 198, 'friends_count': 254, 'listed_count': 2, 'created_at': 'Sat Sep 25 05:34:05 +0000 2010', 'favourites_count': 1023, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 3067, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1051922679639490560/BZ1g3HDc_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1051922679639490560/BZ1g3HDc_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/194872382/1552081291', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,"{'id': 'f7e883c0c75d7190', 'url': 'https://api.twitter.com/1.1/geo/id/f7e883c0c75d7190.json', 'place_type': 'city', 'name': 'Cametá', 'full_name': 'Cametá, Brasil', 'country_code': 'BR', 'country': 'Brazil', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-49.830186, -2.638299], [-49.189468, -2.638299], [-49.189468, -1.923776], [-49.830186, -1.923776]]]}, 'attributes': {}}",,False,0,1,False,False,False,pt
Sun Nov 10 17:27:28 +0000 2019,1193580949474201601,1193580949474201601,"Dia de ENEM!
Estamos na torcida por vocês!
Não esqueça:
Documento com foto;
Caneta preta;
Horário de início 13h de… https://t.co/BsRH6Sac9b",True,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BsRH6Sac9b', 'expanded_url': 'https://twitter.com/i/web/status/1193580949474201601', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 1149001633927434240, 'id_str': '1149001633927434240', 'name': 'FACULDADE FAEL', 'screen_name': 'FaelFaculdade', 'location': 'Jaraguá do Sul, Brasil', 'description': 'INSTAGRAM:Faeljaraguadosul', 'url': 'https://t.co/2DBWMEbRVp', 'entities': {'url': {'urls': [{'url': 'https://t.co/2DBWMEbRVp', 'expanded_url': 'http://www.fael.edu.br', 'display_url': 'fael.edu.br', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 2, 'friends_count': 18, 'listed_count': 0, 'created_at': 'Wed Jul 10 17:05:11 +0000 2019', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 125, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1179465597039661056/9qlLStcH_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1179465597039661056/9qlLStcH_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1149001633927434240/1564514728', 'profile_link_color': '19CF86', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,0,False,False,False,pt
Sun Nov 10 17:26:44 +0000 2019,1193580765667303424,1193580765667303424,#Enem: Muitos estudantes chegaram nos locais de prova antes mesmo da abertura dos portões e aproveitaram o apoio de… https://t.co/LTU9rFH0L0,True,"{'hashtags': [{'text': 'Enem', 'indices': [0, 5]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LTU9rFH0L0', 'expanded_url': 'https://twitter.com/i/web/status/1193580765667303424', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,"{'id': 54532531, 'id_str': '54532531', 'name': 'Jornal do Tocantins', 'screen_name': 'jornaltocantins', 'location': 'Tocantins, Brasil', 'description': 'Essa é a página do JTo no Twitter. Criado em 18 de maio de 1979 o Jornal do Tocantins cumpre a missão de ser porta-voz do Estado.', 'url': 'http://t.co/SQEqQXiFlD', 'entities': {'url': {'urls': [{'url': 'http://t.co/SQEqQXiFlD', 'expanded_url': 'http://www.jornaldotocantins.com.br', 'display_url': 'jornaldotocantins.com.br', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 14649, 'friends_count': 32, 'listed_count': 147, 'created_at': 'Tue Jul 07 12:37:04 +0000 2009', 'favourites_count': 137, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 71899, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/793490705448599552/E0v-X3E8_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/793490705448599552/E0v-X3E8_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/54532531/1547549512', 'profile_link_color': '91D2FA', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,1,False,False,False,pt
Sun Nov 10 17:25:03 +0000 2019,1193580341199552512,1193580341199552512,Trabalhei desde os 16 estudando no período da noite. Consegui meu curso no Prouni velho de guerra. E algum abastado… https://t.co/CG7bRY0z4k,True,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/CG7bRY0z4k', 'expanded_url': 'https://twitter.com/i/web/status/1193580341199552512', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 482500068, 'id_str': '482500068', 'name': 'Reinaldo Del Trejo', 'screen_name': 'Rei_DelTrejo', 'location': 'Pirapozinho', 'description': 'Publicitário empolgado e escritor fracassado. Livro O Manipulador de Sonhos na Black November! https://t.co/mIXlZflzWa', 'url': 'https://t.co/mIXlZflzWa', 'entities': {'url': {'urls': [{'url': 'https://t.co/mIXlZflzWa', 'expanded_url': 'https://bit.ly/2qDNKw7', 'display_url': 'bit.ly/2qDNKw7', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/mIXlZflzWa', 'expanded_url': 'https://bit.ly/2qDNKw7', 'display_url': 'bit.ly/2qDNKw7', 'indices': [95, 118]}]}}, 'protected': False, 'followers_count': 16, 'friends_count': 67, 'listed_count': 0, 'created_at': 'Sat Feb 04 00:11:54 +0000 2012', 'favourites_count': 1, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 11, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/593979829877395456/X2o4UE8y_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/593979829877395456/X2o4UE8y_normal.jpg', 'profile_link_color': 'FFCC4D', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,0,False,False,False,pt
Sun Nov 10 17:24:06 +0000 2019,1193580101893545984,1193580101893545984,"ENEM parte 2.
Partiu Aprovar!

#equilattero #enem #vestibular #pré-vestibular #caxiasdosul #bento #semestral… https://t.co/hfhnygto1V",True,"{'hashtags': [{'text': 'equilattero', 'indices': [31, 43]}, {'text': 'enem', 'indices': [44, 49]}, {'text': 'vestibular', 'indices': [50, 61]}, {'text': 'pré', 'indices': [62, 66]}, {'text': 'caxiasdosul', 'indices': [78, 90]}, {'text': 'bento', 'indices': [91, 97]}, {'text': 'semestral', 'indices': [98, 108]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hfhnygto1V', 'expanded_url': 'https://twitter.com/i/web/status/1193580101893545984', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""https://www.facebook.com/socialmlabs/"" rel=""nofollow"">mLabs - Gestão de Redes Sociais</a>",,,,,,"{'id': 93649507, 'id_str': '93649507', 'name': 'Equilattero Pré-Superior', 'screen_name': 'equilattero', 'location': 'Caxias do Sul, Bento Gonçalves', 'description': 'CHEGOOOU O EQUITWITTER!  Nosso insta: @Equilattero @Equilattero_bg          Nosso whats: (54)99972-7029           Fone Caxias: 3025-5002 Fone Bento: 3052-0007', 'url': 'https://t.co/f8MjqB9maF', 'entities': {'url': {'urls': [{'url': 'https://t.co/f8MjqB9maF', 'expanded_url': 'http://www.equilattero.com/', 'display_url': 'equilattero.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 154, 'friends_count': 375, 'listed_count': 0, 'created_at': 'Mon Nov 30 15:19:03 +0000 2009', 'favourites_count': 4, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 233, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'FFFFFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme3/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme3/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1161797549348597761/q1oaLWT1_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1161797549348597761/q1oaLWT1_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/93649507/1565916920', 'profile_link_color': '189441', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'E3E2DE', 'profile_text_color': '797D7D', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,1,1,False,False,True,pt
Sun Nov 10 17:21:26 +0000 2019,1193579431979364353,1193579431979364353,"Você vai pro #showdosatrasados2019 pra fazer o Enem

pera, aí você vê que flopo e vai realmente o #Enem",False,"{'hashtags': [{'text': 'showdosatrasados2019', 'indices': [13, 34]}, {'text': 'Enem', 'indices': [98, 103]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 1070850654887911424, 'id_str': '1070850654887911424', 'name': 'Yan Lopes 🌐', 'screen_name': 'yanlops_', 'location': '', 'description': 'Um ser humano sensato, tenho 15 anos, mas não tire conclusões sobre mim, apenas por isso. ~ só uso twitter pra me informa, fds fama.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 8, 'friends_count': 88, 'listed_count': 0, 'created_at': 'Fri Dec 07 01:21:06 +0000 2018', 'favourites_count': 34, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 49, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1193311344629633026/KK2iaXA8_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1193311344629633026/KK2iaXA8_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1070850654887911424/1573342570', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,0,False,False,,pt
Sun Nov 10 17:17:03 +0000 2019,1193578326381727744,1193578326381727744,Quem mais ai abandonaria a prova por esse motivo? 😂😂😂 marque seu amigo que tem mt sono!! #enem #enem2019 em Enem 20… https://t.co/Bm7pXdX86t,True,"{'hashtags': [{'text': 'enem', 'indices': [89, 94]}, {'text': 'enem2019', 'indices': [95, 104]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Bm7pXdX86t', 'expanded_url': 'https://twitter.com/i/web/status/1193578326381727744', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,,,"{'id': 167127508, 'id_str': '167127508', 'name': 'João Quirino', 'screen_name': 'joaoquirino1', 'location': 'São Paulo, Brasil', 'description': 'Meu nome é João Quirino e eu faço vídeos de comédia. (ou pelo menos tento, né)   \nInstagram: joaoquirino', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4957, 'friends_count': 194, 'listed_count': 11, 'created_at': 'Thu Jul 15 20:39:35 +0000 2010', 'favourites_count': 2094, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 6447, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '022330', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1090099070822170627/rpw0pWEP_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1090099070822170627/rpw0pWEP_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/167127508/1548721286', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,0,False,False,False,pt
Sun Nov 10 17:16:16 +0000 2019,1193578129501102082,1193578129501102082,Alguma notícia do #enem? Cadê o desespero?,False,"{'hashtags': [{'text': 'enem', 'indices': [18, 23]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 771905620819804160, 'id_str': '771905620819804160', 'name': 'Opressor Casanova da Depressão', 'screen_name': 'ProFisiCasanova', 'location': 'Brasília, Brasil', 'description': 'Professor de Física, graduado pela Universidade de Brasília, aluno de Engenharia Mecânica da UnB.', 'url': 'https://t.co/eJwU9j9x9a', 'entities': {'url': {'urls': [{'url': 'https://t.co/eJwU9j9x9a', 'expanded_url': 'http://youtube.com/ProfessorCasanova', 'display_url': 'youtube.com/ProfessorCasan…', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 58, 'friends_count': 176, 'listed_count': 1, 'created_at': 'Sat Sep 03 03:00:16 +0000 2016', 'favourites_count': 1551, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 3184, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1170798576248791040/8wSOxQek_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1170798576248791040/8wSOxQek_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/771905620819804160/1567975208', 'profile_link_color': '000000', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,0,False,False,,pt
Sun Nov 10 17:09:12 +0000 2019,1193576349753135104,1193576349753135104,"Eu no Enem concentradíssima pra prova de exatas
#Enem #showdosatrasados2019 https://t.co/jX1amql5p7",False,"{'hashtags': [{'text': 'Enem', 'indices': [48, 53]}, {'text': 'showdosatrasados2019', 'indices': [54, 75]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1193576333592399873, 'id_str': '1193576333592399873', 'indices': [76, 99], 'media_url': 'http://pbs.twimg.com/media/EJBvWgAWkAEjyOh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EJBvWgAWkAEjyOh.jpg', 'url': 'https://t.co/jX1amql5p7', 'display_url': 'pic.twitter.com/jX1amql5p7', 'expanded_url': 'https://twitter.com/alegusmxo/status/1193576349753135104/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 547, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 966, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1030, 'h': 1280, 'resize': 'fit'}}}]}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 1579361262, 'id_str': '1579361262', 'name': 'ALE', 'screen_name': 'alegusmxo', 'location': 'São Luís', 'description': 'Sou tipo aquelas pessoas que a mãe do Kiko falaria pra ele não se misturar.\nPerfil flopado pra combinar com minha vida.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 2241, 'friends_count': 3290, 'listed_count': 4, 'created_at': 'Tue Jul 09 04:17:32 +0000 2013', 'favourites_count': 334, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 10110, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1191534480768557056/Rw6iKYDj_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1191534480768557056/Rw6iKYDj_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1579361262/1554619622', 'profile_link_color': '981CEB', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,2,False,False,False,pt
Sun Nov 10 17:08:43 +0000 2019,1193576230769045505,1193576230769045505,"PARTIU ENEM MORES💋

#DomingoHeroisDoSDV 
#Enem 
#DomingoDetremuraSDV https://t.co/C6hbiDEQWg",False,"{'hashtags': [{'text': 'DomingoHeroisDoSDV', 'indices': [20, 39]}, {'text': 'Enem', 'indices': [41, 46]}, {'text': 'DomingoDetremuraSDV', 'indices': [48, 68]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1193576037432614918, 'id_str': '1193576037432614918', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1193576037432614918/pu/img/1yS7XtahDHSseFGk.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1193576037432614918/pu/img/1yS7XtahDHSseFGk.jpg', 'url': 'https://t.co/C6hbiDEQWg', 'display_url': 'pic.twitter.com/C6hbiDEQWg', 'expanded_url': 'https://twitter.com/hay_POCbitch_/status/1193576230769045505/video/1', 'type': 'photo', 'sizes': {'large': {'w': 352, 'h': 640, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 352, 'h': 640, 'resize': 'fit'}, 'medium': {'w': 352, 'h': 640, 'resize': 'fit'}}}]}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 1107448676803362817, 'id_str': '1107448676803362817', 'name': '☆AYMAN BUENO☆', 'screen_name': 'hay_POCbitch_', 'location': 'São Leopoldo, Brasil', 'description': 'PERFIL NOVO lovers', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1009, 'friends_count': 1432, 'listed_count': 0, 'created_at': 'Mon Mar 18 01:08:34 +0000 2019', 'favourites_count': 1423, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 343, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1151688758141554693/NAz2mmv-_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1151688758141554693/NAz2mmv-_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1107448676803362817/1563419265', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,1,False,False,False,pt
Sun Nov 10 17:07:23 +0000 2019,1193575895312809990,1193575895312809990,#enem https://t.co/dcDuMkaLOg,False,"{'hashtags': [{'text': 'enem', 'indices': [0, 5]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1193575887238828032, 'id_str': '1193575887238828032', 'indices': [6, 29], 'media_url': 'http://pbs.twimg.com/media/EJBu8hNXkAArCt5.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EJBu8hNXkAArCt5.jpg', 'url': 'https://t.co/dcDuMkaLOg', 'display_url': 'pic.twitter.com/dcDuMkaLOg', 'expanded_url': 'https://twitter.com/RazoesAcreditar/status/1193575895312809990/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}}}]}","{'iso_language_code': 'und', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 872932315, 'id_str': '872932315', 'name': 'Razões Para Acreditar', 'screen_name': 'RazoesAcreditar', 'location': '', 'description': 'Um canal de divulgação direta, repleto de atitudes positivas e iniciativas humanitárias.', 'url': 'https://t.co/vYDECbOcL1', 'entities': {'url': {'urls': [{'url': 'https://t.co/vYDECbOcL1', 'expanded_url': 'http://www.razoesparaacreditar.com', 'display_url': 'razoesparaacreditar.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 7379, 'friends_count': 763, 'listed_count': 45, 'created_at': 'Thu Oct 11 03:25:05 +0000 2012', 'favourites_count': 715, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 18647, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F58EA8', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1131592431600906240/S-mInhw__normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1131592431600906240/S-mInhw__normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/872932315/1558627679', 'profile_link_color': 'E81C4F', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,5,27,False,False,False,und
